Date,USA IMI/INDUSTRIALS
3/28/1995,239.1394971
3/29/1995,240.2561209
3/30/1995,241.2932154
3/31/1995,240.7287802
4/3/1995,241.1185843
4/4/1995,242.5754192
4/5/1995,241.8572421
4/6/1995,242.9779624
4/7/1995,242.6032828
4/10/1995,242.5374996
4/11/1995,242.0776577
4/12/1995,243.4582151
4/13/1995,244.3895891
4/14/1995,244.3895891
4/17/1995,243.5500329
4/18/1995,242.3835832
4/19/1995,242.8413872
4/20/1995,242.9961426
4/21/1995,244.7502045
4/24/1995,246.6306985
4/25/1995,246.3890622
4/26/1995,246.9346591
4/27/1995,247.6955963
4/28/1995,247.1842329
5/1/1995,247.3481076
5/2/1995,247.2153578
5/3/1995,249.1155632
5/4/1995,249.28454
5/5/1995,247.8962838
5/8/1995,249.2937346
5/9/1995,249.8067961
5/10/1995,250.3794764
5/11/1995,250.6938392
5/12/1995,252.4682375
5/15/1995,252.8330828
5/16/1995,253.7156078
5/17/1995,253.0659359
5/18/1995,249.1723934
5/19/1995,248.0786075
5/22/1995,250.4030687
5/23/1995,251.7194816
5/24/1995,250.9474043
5/25/1995,249.4991921
5/26/1995,247.4275444
5/29/1995,247.4275444
5/30/1995,247.9439079
5/31/1995,251.7357613
6/1/1995,251.4850431
6/2/1995,249.1355106
6/5/1995,251.5987959
6/6/1995,252.0009313
6/7/1995,251.7242378
6/8/1995,251.6760926
6/9/1995,249.7422661
6/12/1995,251.7443266
6/13/1995,254.3887026
6/14/1995,254.7532182
6/15/1995,254.9774742
6/16/1995,255.3852039
6/19/1995,257.7004574
6/20/1995,256.8787276
6/21/1995,256.3112491
6/22/1995,258.0419237
6/23/1995,257.571432
6/26/1995,256.2384878
6/27/1995,256.0318436
6/28/1995,256.2126828
6/29/1995,255.2342763
6/30/1995,257.712697
7/3/1995,258.231025
7/4/1995,258.231025
7/5/1995,260.5121697
7/6/1995,264.0248404
7/7/1995,268.9525042
7/10/1995,270.6148598
7/11/1995,269.172294
7/12/1995,270.6986765
7/13/1995,270.2382795
7/14/1995,268.973284
7/17/1995,270.5152242
7/18/1995,268.056461
7/19/1995,263.2189108
7/20/1995,265.9475193
7/21/1995,266.8165252
7/24/1995,267.8346082
7/25/1995,269.6472176
7/26/1995,268.8301368
7/27/1995,271.9158168
7/28/1995,271.060134
7/31/1995,270.9618377
8/1/1995,270.1097362
8/2/1995,268.5024296
8/3/1995,268.5913347
8/4/1995,268.5555414
8/7/1995,269.4838036
8/8/1995,269.5865964
8/9/1995,268.9697792
8/10/1995,267.403516
8/11/1995,266.2028578
8/14/1995,268.4728446
8/15/1995,268.5103352
8/16/1995,269.2583809
8/17/1995,269.315954
8/18/1995,269.2153756
8/21/1995,270.3688239
8/22/1995,269.8368969
8/23/1995,268.8056558
8/24/1995,268.7391212
8/25/1995,269.8520449
8/28/1995,269.8413333
8/29/1995,269.8422098
8/30/1995,269.8745125
8/31/1995,270.5594443
9/1/1995,272.1675362
9/4/1995,272.1675362
9/5/1995,274.2787563
9/6/1995,276.3032823
9/7/1995,276.3870643
9/8/1995,276.9482084
9/11/1995,276.3961744
9/12/1995,277.6588433
9/13/1995,278.7465951
9/14/1995,280.7121629
9/15/1995,281.1983254
9/18/1995,279.8768002
9/19/1995,278.3910839
9/20/1995,279.0347119
9/21/1995,277.1805193
9/22/1995,276.5389699
9/25/1995,276.4912852
9/26/1995,276.1279438
9/27/1995,273.9582556
9/28/1995,276.1478759
9/29/1995,277.4717222
10/2/1995,275.8382007
10/3/1995,274.1859949
10/4/1995,272.2301349
10/5/1995,272.6193182
10/6/1995,273.259243
10/9/1995,270.6197198
10/10/1995,269.8749983
10/11/1995,271.7717427
10/12/1995,274.0695757
10/13/1995,276.0700664
10/16/1995,275.8895731
10/17/1995,276.6816428
10/18/1995,276.8381318
10/19/1995,277.3905555
10/20/1995,276.8467043
10/23/1995,274.2606256
10/24/1995,275.1217198
10/25/1995,273.3590288
10/26/1995,270.7375197
10/27/1995,270.9679532
10/30/1995,273.7419313
10/31/1995,273.6550745
11/1/1995,273.3926074
11/2/1995,277.9552678
11/3/1995,278.1802411
11/6/1995,278.9336805
11/7/1995,278.8179978
11/8/1995,281.0283313
11/9/1995,281.3359306
11/10/1995,282.3908115
11/13/1995,282.1062175
11/14/1995,281.1257156
11/15/1995,282.4034423
11/16/1995,285.6161826
11/17/1995,286.0450951
11/20/1995,285.3534282
11/21/1995,286.9039949
11/22/1995,287.3900483
11/23/1995,287.3900483
11/24/1995,287.7776544
11/27/1995,288.4275655
11/28/1995,290.4278334
11/29/1995,292.4701511
11/30/1995,292.9809028
12/1/1995,294.5710318
12/4/1995,296.2699232
12/5/1995,298.2666503
12/6/1995,299.4731935
12/7/1995,297.5946201
12/8/1995,297.0583178
12/11/1995,297.5339133
12/12/1995,297.9107559
12/13/1995,299.5784353
12/14/1995,297.7585555
12/15/1995,296.6761711
12/18/1995,292.857088
12/19/1995,293.5659416
