Date,USA IMI/UTILITIES
3/28/1995,268.1168037
3/29/1995,268.8334685
3/30/1995,270.1050116
3/31/1995,270.1846845
4/3/1995,270.2266067
4/4/1995,274.4776592
4/5/1995,276.540628
4/6/1995,276.6835685
4/7/1995,277.071796
4/10/1995,276.4472706
4/11/1995,275.8334502
4/12/1995,275.2594231
4/13/1995,276.1303895
4/14/1995,276.1303895
4/17/1995,273.1642208
4/18/1995,273.5610984
4/19/1995,274.4724164
4/20/1995,274.9147422
4/21/1995,274.9587664
4/24/1995,276.4015647
4/25/1995,276.2601245
4/26/1995,276.1504786
4/27/1995,276.2178138
4/28/1995,276.4780957
5/1/1995,275.710995
5/2/1995,275.5673523
5/3/1995,277.1973049
5/4/1995,277.6279042
5/5/1995,279.285031
5/8/1995,279.4382609
5/9/1995,280.5053858
5/10/1995,280.7670558
5/11/1995,279.6761679
5/12/1995,280.5437772
5/15/1995,282.2455863
5/16/1995,283.9562826
5/17/1995,282.8637852
5/18/1995,280.0988457
5/19/1995,279.8550424
5/22/1995,280.6133765
5/23/1995,281.2671045
5/24/1995,281.8550662
5/25/1995,287.0163369
5/26/1995,286.6133868
5/29/1995,286.6133868
5/30/1995,289.5434325
5/31/1995,293.5249907
6/1/1995,292.574113
6/2/1995,295.234619
6/5/1995,297.929963
6/6/1995,297.6664352
6/7/1995,294.3770306
6/8/1995,291.2548665
6/9/1995,288.1115984
6/12/1995,290.2646421
6/13/1995,292.8448391
6/14/1995,291.6085871
6/15/1995,290.5871774
6/16/1995,290.3186017
6/19/1995,292.0120009
6/20/1995,291.5395725
6/21/1995,291.059136
6/22/1995,295.7037285
6/23/1995,293.692838
6/26/1995,291.9497086
6/27/1995,292.713133
6/28/1995,295.2160784
6/29/1995,293.1696879
6/30/1995,292.5297196
7/3/1995,292.5743942
7/4/1995,292.5743942
7/5/1995,291.9951431
7/6/1995,294.3042982
7/7/1995,292.4961091
7/10/1995,291.4743751
7/11/1995,291.0085723
7/12/1995,292.0981068
7/13/1995,291.2350271
7/14/1995,289.8304842
7/17/1995,290.0028816
7/18/1995,290.4665829
7/19/1995,288.3609586
7/20/1995,289.493949
7/21/1995,288.872199
7/24/1995,290.3525173
7/25/1995,291.2999218
7/26/1995,291.1928796
7/27/1995,292.9828953
7/28/1995,291.6074935
7/31/1995,291.6009134
8/1/1995,291.0245315
8/2/1995,291.1389586
8/3/1995,290.7478982
8/4/1995,291.3332694
8/7/1995,291.5539844
8/8/1995,291.1503408
8/9/1995,290.0909586
8/10/1995,289.8714174
8/11/1995,289.3900361
8/14/1995,290.1211283
8/15/1995,289.7034812
8/16/1995,292.4263977
8/17/1995,292.6865278
8/18/1995,292.8823916
8/21/1995,293.0791827
8/22/1995,293.3343099
8/23/1995,293.0409814
8/24/1995,293.1028701
8/25/1995,295.4989067
8/28/1995,295.1605426
8/29/1995,294.3571156
8/30/1995,293.7808994
8/31/1995,293.819314
9/1/1995,294.9178529
9/4/1995,294.9178529
9/5/1995,295.5757943
9/6/1995,295.100488
9/7/1995,295.3187733
9/8/1995,295.8910903
9/11/1995,295.7576421
9/12/1995,297.1746971
9/13/1995,297.0115027
9/14/1995,299.8405611
9/15/1995,300.0608857
9/18/1995,300.0198662
9/19/1995,300.6682155
9/20/1995,301.7829937
9/21/1995,300.9164283
9/22/1995,301.960108
9/25/1995,303.1863342
9/26/1995,305.9026207
9/27/1995,307.9860256
9/28/1995,311.2682944
9/29/1995,311.57051
10/2/1995,312.7936627
10/3/1995,315.0189974
10/4/1995,314.6052765
10/5/1995,314.0108536
10/6/1995,312.94698
10/9/1995,313.4353566
10/10/1995,315.6604158
10/11/1995,316.2432666
10/12/1995,315.5672808
10/13/1995,314.9721286
10/16/1995,314.5945934
10/17/1995,315.2526602
10/18/1995,316.4320575
10/19/1995,318.1862801
10/20/1995,320.8038232
10/23/1995,319.7506454
10/24/1995,320.49446
10/25/1995,320.9058777
10/26/1995,319.816278
10/27/1995,317.9059028
10/30/1995,318.1526502
10/31/1995,316.2990988
11/1/1995,318.5108275
11/2/1995,319.1974001
11/3/1995,319.6090978
11/6/1995,317.5788392
11/7/1995,316.8807388
11/8/1995,318.8633636
11/9/1995,317.606923
11/10/1995,316.454103
11/13/1995,316.9793145
11/14/1995,316.4516318
11/15/1995,318.0087969
11/16/1995,320.1296508
11/17/1995,320.5933371
11/20/1995,319.1144339
11/21/1995,320.5793577
11/22/1995,318.8712448
11/23/1995,318.8712448
11/24/1995,319.9729435
11/27/1995,321.6995772
11/28/1995,321.3909248
11/29/1995,322.484255
11/30/1995,321.7394765
12/1/1995,322.4185869
12/4/1995,325.2239714
12/5/1995,327.7813158
12/6/1995,328.3830346
12/7/1995,325.6610755
12/8/1995,325.430822
12/11/1995,326.6419673
12/12/1995,327.0546735
12/13/1995,329.4949451
12/14/1995,329.6715975
12/15/1995,331.8899465
12/18/1995,331.9734441
12/19/1995,334.8226506
12/20/1995,333.041607
12/21/1995,334.4285284
