Date,USA IMI/HEALTH CARE
3/28/1995,243.1178591
3/29/1995,240.7229441
3/30/1995,237.8085641
3/31/1995,237.2691835
4/3/1995,238.563745
4/4/1995,239.9909002
4/5/1995,239.3139189
4/6/1995,239.1865986
4/7/1995,238.7144883
4/10/1995,239.6538108
4/11/1995,240.4377716
4/12/1995,241.2433313
4/13/1995,243.9622865
4/14/1995,243.9622865
4/17/1995,242.6907861
4/18/1995,241.5771918
4/19/1995,236.4337159
4/20/1995,235.3026777
4/21/1995,237.8239244
4/24/1995,240.3238164
4/25/1995,238.2652342
4/26/1995,238.6089073
4/27/1995,238.0221446
4/28/1995,239.0385408
5/1/1995,238.4936107
5/2/1995,239.0538813
5/3/1995,240.8608667
5/4/1995,239.4607484
5/5/1995,239.2523043
5/8/1995,240.159345
5/9/1995,239.9234188
5/10/1995,240.3420171
5/11/1995,240.5735862
5/12/1995,236.4185741
5/15/1995,235.2108152
5/16/1995,235.8857264
5/17/1995,236.3477843
5/18/1995,233.1504766
5/19/1995,234.7271007
5/22/1995,235.9968051
5/23/1995,238.1605828
5/24/1995,239.9396535
5/25/1995,241.1685102
5/26/1995,239.3892995
5/29/1995,239.3892995
5/30/1995,239.1906537
5/31/1995,243.4050711
6/1/1995,244.1949986
6/2/1995,244.9086179
6/5/1995,247.0413453
6/6/1995,247.987144
6/7/1995,248.1550438
6/8/1995,248.7198327
6/9/1995,246.9959505
6/12/1995,247.7957977
6/13/1995,250.6746484
6/14/1995,249.5208581
6/15/1995,249.5643348
6/16/1995,251.2163441
6/19/1995,251.9984513
6/20/1995,251.3296503
6/21/1995,254.6395704
6/22/1995,259.0665669
6/23/1995,257.7745007
6/26/1995,254.539687
6/27/1995,250.9958707
6/28/1995,252.4250971
6/29/1995,252.8145185
6/30/1995,252.8272587
7/3/1995,254.0983583
7/4/1995,254.0983583
7/5/1995,252.4488986
7/6/1995,252.7726299
7/7/1995,248.2856607
7/10/1995,248.7417422
7/11/1995,250.6951495
7/12/1995,252.1422384
7/13/1995,255.0412988
7/14/1995,255.4297775
7/17/1995,257.0304959
7/18/1995,257.8838833
7/19/1995,255.2479489
7/20/1995,254.6001409
7/21/1995,255.8601155
7/24/1995,256.9317742
7/25/1995,258.7417919
7/26/1995,260.8236559
7/27/1995,264.605748
7/28/1995,264.8930296
7/31/1995,266.3113759
8/1/1995,265.5194339
