Date,USA IMI/MATERIALS
3/28/1995,306.8173135
3/29/1995,308.4630142
3/30/1995,313.6066543
3/31/1995,312.7787744
4/3/1995,312.4338563
4/4/1995,314.2122884
4/5/1995,316.1560681
4/6/1995,316.6394937
4/7/1995,314.6134032
4/10/1995,315.0371572
4/11/1995,314.8219707
4/12/1995,315.2836119
4/13/1995,314.644347
4/14/1995,314.644347
4/17/1995,312.5765608
4/18/1995,309.6561096
4/19/1995,309.9879654
4/20/1995,312.0225624
4/21/1995,314.0533442
4/24/1995,316.1989968
4/25/1995,315.9241765
4/26/1995,315.0995159
4/27/1995,316.5728762
4/28/1995,317.6582461
5/1/1995,317.8626053
5/2/1995,318.6221275
5/3/1995,319.5763153
5/4/1995,318.6427443
5/5/1995,317.1939486
5/8/1995,320.3325629
5/9/1995,320.1554076
5/10/1995,321.3874639
5/11/1995,323.5758698
5/12/1995,326.0858946
5/15/1995,328.0819053
5/16/1995,329.6702212
5/17/1995,326.7404897
5/18/1995,322.4116158
5/19/1995,322.4131576
5/22/1995,324.1011668
5/23/1995,327.6524929
5/24/1995,327.7169837
5/25/1995,324.5591934
5/26/1995,322.2722964
5/29/1995,322.2722964
5/30/1995,321.4674041
5/31/1995,324.7569937
6/1/1995,325.6689469
6/2/1995,322.1356218
6/5/1995,324.7115443
6/6/1995,326.5090085
6/7/1995,326.6113372
6/8/1995,327.0958115
6/9/1995,324.4823846
6/12/1995,325.0998381
6/13/1995,326.0371725
6/14/1995,324.4948095
6/15/1995,324.9159478
6/16/1995,325.7170998
6/19/1995,328.4592967
6/20/1995,328.0739099
6/21/1995,328.0992486
6/22/1995,333.2714726
6/23/1995,333.5168282
6/26/1995,331.2363723
6/27/1995,330.9421247
6/28/1995,332.1433967
6/29/1995,334.3111395
6/30/1995,336.9766049
7/3/1995,338.6965473
7/4/1995,338.6965473
7/5/1995,342.7907607
7/6/1995,347.6066861
7/7/1995,356.5658498
7/10/1995,359.3913537
7/11/1995,354.8194111
7/12/1995,359.530809
7/13/1995,358.4336477
7/14/1995,356.4459061
7/17/1995,357.18561
7/18/1995,352.4740602
7/19/1995,346.2007684
7/20/1995,349.337254
7/21/1995,349.0882443
7/24/1995,350.4582819
7/25/1995,351.075437
7/26/1995,348.9198488
7/27/1995,350.4730626
7/28/1995,350.2523875
7/31/1995,349.9278577
8/1/1995,350.1444605
8/2/1995,350.9335931
8/3/1995,352.3287084
8/4/1995,352.0184821
8/7/1995,353.8103804
8/8/1995,353.2031792
8/9/1995,351.4027612
8/10/1995,349.3284169
8/11/1995,348.0755096
8/14/1995,349.5781043
8/15/1995,348.4152139
8/16/1995,351.3474412
8/17/1995,351.9361121
8/18/1995,352.0463976
8/21/1995,353.3057053
8/22/1995,353.1456319
8/23/1995,350.9400755
8/24/1995,350.3787522
8/25/1995,351.4817194
8/28/1995,351.3998778
8/29/1995,350.8183129
8/30/1995,350.1728317
8/31/1995,349.7650986
9/1/1995,351.4445076
9/4/1995,351.4445076
9/5/1995,355.2536653
9/6/1995,357.2732137
9/7/1995,357.9392024
9/8/1995,361.111222
9/11/1995,362.9630164
9/12/1995,363.4004923
9/13/1995,362.5166106
9/14/1995,364.9225329
9/15/1995,362.7774691
9/18/1995,361.3240963
9/19/1995,357.63051
9/20/1995,355.9410054
9/21/1995,353.1397186
9/22/1995,350.2668783
9/25/1995,348.787573
9/26/1995,347.1899739
9/27/1995,346.1310077
9/28/1995,348.5193761
9/29/1995,349.4150828
10/2/1995,346.441738
10/3/1995,341.9791359
10/4/1995,338.190309
10/5/1995,341.1406797
10/6/1995,340.7437898
10/9/1995,336.9250149
10/10/1995,337.6896333
10/11/1995,338.2807944
10/12/1995,339.746896
10/13/1995,341.4220592
10/16/1995,341.7653945
10/17/1995,340.762898
10/18/1995,338.5850459
10/19/1995,337.380286
10/20/1995,335.9164408
10/23/1995,330.8731724
10/24/1995,332.0302324
10/25/1995,327.2862006
10/26/1995,324.0975854
10/27/1995,328.0041216
10/30/1995,329.4691163
10/31/1995,327.753992
11/1/1995,328.27888
11/2/1995,330.0982846
11/3/1995,331.8832863
11/6/1995,331.5751169
11/7/1995,332.5683478
11/8/1995,333.8590003
11/9/1995,333.8075699
11/10/1995,334.4187858
11/13/1995,334.4246454
11/14/1995,333.9575247
11/15/1995,333.7168476
11/16/1995,332.7717388
11/17/1995,334.6972051
11/20/1995,335.3905774
11/21/1995,337.7836602
11/22/1995,343.7560094
11/23/1995,343.7560094
11/24/1995,344.032732
11/27/1995,347.3389534
11/28/1995,347.1907481
11/29/1995,348.6786219
11/30/1995,347.2071448
