1.996495785131943701e-01,1.116087313828285771e-01,1.069532321986961659e-01,9.110181253346368024e-02,5.472575260554678189e-02,7.622745194105279287e-02,1.131013266858666988e-01,9.871394844677557068e-02,8.400555214356789091e-02,5.424430004680589473e-02
1.116087313828285771e-01,1.019604037039110872e-01,9.215590433199390141e-02,7.996993504633734262e-02,5.336922880933871183e-02,7.110789498319695923e-02,9.446146317648189406e-02,8.801950463433724781e-02,7.048653798712603558e-02,5.154683952657625884e-02
1.069532321986961659e-01,9.215590433199390141e-02,9.751923947199311882e-02,8.239920750968585117e-02,5.489175152598632645e-02,7.260896217557305521e-02,9.750689709651724768e-02,9.085731120647631831e-02,7.224694281472721080e-02,5.354668614290643280e-02
9.110181253346368024e-02,7.996993504633734262e-02,8.239920750968585117e-02,8.824237831624322237e-02,5.092368247801070530e-02,6.957224681691459578e-02,8.745223840195334719e-02,9.195388114751146258e-02,7.095726385307117579e-02,4.599090130761826489e-02
5.472575260554678189e-02,5.336922880933871183e-02,5.489175152598632645e-02,5.092368247801070530e-02,5.696366284389640933e-02,5.129195441506213121e-02,5.809110230489916704e-02,5.856297687647554068e-02,5.105435078845588920e-02,5.263126972209041660e-02
7.622745194105279287e-02,7.110789498319695923e-02,7.260896217557305521e-02,6.957224681691459578e-02,5.129195441506213121e-02,8.678830228564214655e-02,7.797449830704807072e-02,8.183698305863845723e-02,6.285619096298317166e-02,4.985259906903938276e-02
1.131013266858666988e-01,9.446146317648189406e-02,9.750689709651724768e-02,8.745223840195334719e-02,5.809110230489916704e-02,7.797449830704807072e-02,1.192988855211988414e-01,9.552806573226174658e-02,7.838825753405746777e-02,5.691974939892475993e-02
9.871394844677557068e-02,8.801950463433724781e-02,9.085731120647631831e-02,9.195388114751146258e-02,5.856297687647554068e-02,8.183698305863845723e-02,9.552806573226174658e-02,1.188103670390260047e-01,7.918228624187144404e-02,5.499765568197340776e-02
8.400555214356789091e-02,7.048653798712603558e-02,7.224694281472721080e-02,7.095726385307117579e-02,5.105435078845588920e-02,6.285619096298317166e-02,7.838825753405746777e-02,7.918228624187144404e-02,9.084786460683856590e-02,5.129753238193029280e-02
5.424430004680589473e-02,5.154683952657625884e-02,5.354668614290643280e-02,4.599090130761826489e-02,5.263126972209041660e-02,4.985259906903938276e-02,5.691974939892475993e-02,5.499765568197340776e-02,5.129753238193029280e-02,9.176099186686642595e-02
